CustomerKey,Customer City,CustomerCountry,CustomerAlternateKey,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EducationLevel,Occupation,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase
11000,Rockhampton,Australia,AW00011000,Jon Yang,1971-10-06,Married,Male,90000.00,2,0,Bachelors,Professional,1,0,2020-01-19
11001,Seaford,Australia,AW00011001,Eugene Huang,1976-05-10,Single,Male,60000.00,3,3,Bachelors,Professional,0,1,2020-01-15
11002,Hobart,Australia,AW00011002,Ruben Torres,1971-02-09,Married,Male,60000.00,3,3,Bachelors,Professional,1,1,2020-01-07
11003,North Ryde,Australia,AW00011003,Christy Zhu,1973-08-14,Single,Female,70000.00,0,0,Bachelors,Professional,0,1,2019-12-29
11004,Wollongong,Australia,AW00011004,Elizabeth Johnson,1979-08-05,Single,Female,80000.00,5,5,Bachelors,Professional,1,4,2020-01-23
11005,East Brisbane,Australia,AW00011005,Julio Ruiz,1976-08-01,Single,Male,70000.00,0,0,Bachelors,Professional,1,1,2019-12-30
11006,Matraville,Australia,AW00011006,Janet Alvarez,1976-12-02,Single,Female,70000.00,0,0,Bachelors,Professional,1,1,2020-01-24
11007,Warrnambool,Australia,AW00011007,Marco Mehta,1969-11-06,Married,Male,60000.00,3,3,Bachelors,Professional,1,2,2020-01-09
11008,Bendigo,Australia,AW00011008,Rob Verhoff,1975-07-04,Single,Female,60000.00,4,4,Bachelors,Professional,1,3,2020-01-25
11009,Hervey Bay,Australia,AW00011009,Shannon Carlson,1969-09-29,Single,Male,70000.00,0,0,Bachelors,Professional,0,1,2020-01-27
11010,East Brisbane,Australia,AW00011010,Jacquelyn Suarez,1969-08-05,Single,Female,70000.00,0,0,Bachelors,Professional,0,1,2020-01-14
11011,East Brisbane,Australia,AW00011011,Curtis Lu,1969-05-03,Married,Male,60000.00,4,4,Bachelors,Professional,1,4,2019-12-30
11012,Bremerton,United States,AW00011012,Lauren Walker,1979-01-14,Married,Female,100000.00,2,0,Bachelors,Management,1,2,2022-03-16
11013,Lebanon,United States,AW00011013,Ian Jenkins,1979-08-03,Married,Male,100000.00,2,0,Bachelors,Management,1,3,2022-04-13
11014,Redmond,United States,AW00011014,Sydney Bennett,1973-11-06,Single,Female,100000.00,3,0,Bachelors,Management,0,3,2022-03-23
11015,Burbank,United States,AW00011015,Chloe Young,1984-08-26,Single,Female,30000.00,0,0,Partial College,Skilled Manual,0,1,2022-01-18
11016,Imperial Beach,United States,AW00011016,Wyatt Hill,1984-10-25,Married,Male,30000.00,0,0,Partial College,Skilled Manual,1,1,2022-02-09
11017,Sunbury,Australia,AW00011017,Shannon Wang,1949-12-24,Single,Female,20000.00,4,0,High School,Skilled Manual,1,2,2020-01-12
11018,Bendigo,Australia,AW00011018,Clarence Rai,1955-10-06,Single,Male,30000.00,2,0,Partial College,Clerical,1,2,2020-01-17
11019,Langley,Canada,AW00011019,Luke Lal,1983-09-04,Single,Male,40000.00,0,0,High School,Skilled Manual,0,2,2022-02-12
11020,Metchosin,Canada,AW00011020,Jordan King,1984-03-19,Single,Male,40000.00,0,0,High School,Skilled Manual,0,2,2021-12-29
11021,Beaverton,United States,AW00011021,Destiny Wilson,1984-03-02,Single,Female,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-01-23
11022,Bellingham,United States,AW00011022,Ethan Zhang,1984-04-10,Married,Male,40000.00,0,0,Partial College,Skilled Manual,1,1,2022-01-20
11023,Bellflower,United States,AW00011023,Seth Edwards,1984-04-09,Married,Male,40000.00,0,0,Partial College,Skilled Manual,1,1,2022-02-17
11024,Concord,United States,AW00011024,Russell Xie,1984-03-16,Married,Male,60000.00,0,0,Partial College,Skilled Manual,1,2,2022-06-27
11025,Hawthorne,Australia,AW00011025,Alejandro Beck,1951-06-22,Married,Male,10000.00,2,1,Partial High School,Clerical,1,2,2020-01-06
11026,Goulburn,Australia,AW00011026,Harold Sai,1951-10-01,Single,Male,30000.00,2,0,Partial College,Clerical,0,2,2020-01-23
11027,Warrnambool,Australia,AW00011027,Jessie Zhao,1952-06-05,Married,Male,30000.00,2,0,Partial College,Clerical,1,2,2020-01-16
11028,St. Leonards,Australia,AW00011028,Jill Jimenez,1951-10-09,Married,Female,30000.00,2,0,Partial College,Clerical,1,2,2020-01-26
11029,Bendigo,Australia,AW00011029,Jimmy Moreno,1952-06-19,Married,Male,30000.00,2,0,Partial College,Clerical,1,2,2020-01-19
11030,Cloverdale,Australia,AW00011030,Bethany Yuan,1958-02-18,Married,Female,10000.00,2,1,Partial High School,Clerical,1,2,2020-02-05
11031,Matraville,Australia,AW00011031,Theresa Ramos,1953-02-18,Married,Female,20000.00,4,0,High School,Skilled Manual,1,2,2020-02-01
11032,Melbourne,Australia,AW00011032,Denise Stone,1952-12-08,Married,Female,20000.00,4,0,High School,Skilled Manual,1,2,2020-02-18
11033,Milsons Point,Australia,AW00011033,Jaime Nath,1958-09-19,Married,Male,20000.00,4,0,High School,Skilled Manual,1,2,2020-02-15
11034,North Sydney,Australia,AW00011034,Ebony Gonzalez,1952-12-16,Married,Female,20000.00,4,0,High School,Skilled Manual,1,2,2020-02-01
11035,Cranbourne,Australia,AW00011035,Wendy Dominguez,1953-08-23,Married,Female,10000.00,2,1,Partial High School,Clerical,1,2,2020-02-06
11036,National City,United States,AW00011036,Jennifer Russell,1984-06-16,Married,Female,60000.00,0,0,Partial College,Skilled Manual,1,2,2022-01-22
11037,Cliffside,Canada,AW00011037,Chloe Garcia,1983-05-27,Single,Female,40000.00,0,0,Partial High School,Clerical,0,2,2022-01-20
11038,Lavender Bay,Australia,AW00011038,Diana Hernandez,1953-09-20,Married,Female,10000.00,2,1,Partial High School,Clerical,1,2,2020-02-07
11039,Wollongong,Australia,AW00011039,Marc Martin,1954-06-16,Married,Male,30000.00,3,0,Partial College,Clerical,1,2,2020-02-07
11040,Tacoma,United States,AW00011040,Jesse Murphy,1983-01-29,Married,Male,30000.00,0,0,Partial College,Skilled Manual,1,2,2022-04-03
11041,Glendale,United States,AW00011041,Amanda Carter,1983-04-15,Married,Female,60000.00,0,0,Partial College,Skilled Manual,1,2,2022-01-14
11042,Los Angeles,United States,AW00011042,Megan Sanchez,1982-12-11,Married,Female,70000.00,0,0,Partial College,Skilled Manual,1,2,2022-01-21
11043,Glendale,United States,AW00011043,Nathan Simmons,1981-08-23,Married,Male,60000.00,0,0,Partial College,Skilled Manual,1,2,2022-05-08
11044,Hervey Bay,Australia,AW00011044,Adam Flores,1954-11-21,Married,Male,20000.00,2,1,Partial High School,Clerical,1,2,2020-02-28
11045,Matraville,Australia,AW00011045,Leonard Nara,1955-11-16,Single,Male,30000.00,3,0,High School,Skilled Manual,0,2,2022-04-10
11046,Lavender Bay,Australia,AW00011046,Christine Yuan,1955-09-19,Married,Female,30000.00,3,0,High School,Skilled Manual,1,2,2020-02-06
11047,Geelong,Australia,AW00011047,Jaclyn Lu,1955-08-27,Married,Female,30000.00,3,0,High School,Skilled Manual,0,2,2020-02-03
11048,Sunbury,Australia,AW00011048,Jeremy Powell,1956-05-21,Married,Male,30000.00,3,0,High School,Skilled Manual,1,2,2020-02-10
11049,Chula Vista,United States,AW00011049,Carol Rai,1986-01-15,Single,Female,40000.00,0,0,Partial High School,Clerical,1,2,2022-03-09
11050,Hobart,Australia,AW00011050,Alan Zheng,1957-03-06,Married,Male,30000.00,3,0,High School,Skilled Manual,1,2,2020-02-20
11051,Caloundra,Australia,AW00011051,Daniel Johnson,1957-01-31,Single,Male,30000.00,3,0,High School,Skilled Manual,0,2,2022-12-29
11052,Matraville,Australia,AW00011052,Heidi Lopez,1957-02-03,Single,Female,40000.00,2,0,Partial College,Clerical,0,2,2020-02-17
11053,San Diego,United States,AW00011053,Ana Price,1986-02-17,Married,Female,60000.00,0,0,Partial College,Skilled Manual,0,2,2022-01-17
11054,Geelong,Australia,AW00011054,Deanna Munoz,1957-09-07,Married,Female,40000.00,2,0,Partial College,Skilled Manual,1,2,2020-02-03
11055,East Brisbane,Australia,AW00011055,Gilbert Raje,1957-09-02,Married,Male,40000.00,2,0,Partial College,Skilled Manual,1,2,2020-01-31
11056,Newcastle,Australia,AW00011056,Michele Nath,1958-10-01,Married,Female,40000.00,3,0,Partial College,Skilled Manual,1,2,2020-02-26
11057,Lane Cove,Australia,AW00011057,Carl Andersen,1970-04-07,Married,Male,70000.00,2,0,Graduate Degree,Management,1,2,2020-02-22
11058,Findon,Australia,AW00011058,Marc Diaz,1965-04-23,Married,Male,80000.00,2,0,Partial College,Skilled Manual,1,2,2020-03-09
11059,Townsville,Australia,AW00011059,Ashlee Andersen,1959-09-29,Single,Female,80000.00,2,0,Partial College,Skilled Manual,1,2,2022-02-18
11060,Warrnambool,Australia,AW00011060,Jon Zhou,1959-09-14,Married,Male,80000.00,2,0,Partial College,Skilled Manual,1,2,2020-03-19
11061,Gold Coast,Australia,AW00011061,Todd Gao,1976-02-20,Married,Male,80000.00,2,0,Partial College,Skilled Manual,1,2,2020-03-13
11062,Portland,United States,AW00011062,Noah Powell,1981-03-01,Married,Male,40000.00,0,0,High School,Skilled Manual,1,2,2022-01-07
11063,Redmond,United States,AW00011063,Angela Murphy,1980-10-04,Single,Female,40000.00,0,0,High School,Skilled Manual,1,2,2022-01-12
11064,Downey,United States,AW00011064,Chase Reed,1981-06-05,Married,Male,40000.00,0,0,High School,Skilled Manual,1,2,2022-01-25
11065,La Jolla,United States,AW00011065,Jessica Henderson,1979-04-08,Married,Female,60000.00,0,0,Partial College,Skilled Manual,0,2,2022-02-10
11066,Lebanon,United States,AW00011066,Grace Butler,1979-05-27,Married,Female,70000.00,0,0,Partial College,Professional,1,2,2022-05-31
11067,Port Orchard,United States,AW00011067,Caleb Carter,1982-03-25,Single,Male,60000.00,0,0,Partial College,Professional,1,2,2022-08-18
11068,Warrnambool,Australia,AW00011068,Tiffany Liang,1966-09-19,Single,Female,80000.00,2,0,High School,Skilled Manual,1,2,2022-04-30
11069,Gold Coast,Australia,AW00011069,Carolyn Navarro,1966-09-17,Single,Female,80000.00,2,0,High School,Skilled Manual,0,2,2020-04-17
11070,Sunbury,Australia,AW00011070,Willie Raji,1960-10-02,Married,Male,80000.00,2,0,High School,Skilled Manual,1,2,2020-04-28
11071,Hawthorne,Australia,AW00011071,Linda Serrano,1960-12-23,Single,Female,80000.00,2,0,High School,Skilled Manual,1,2,2022-03-01
11072,St. Leonards,Australia,AW00011072,Casey Luo,1960-08-05,Single,Female,80000.00,2,0,High School,Skilled Manual,0,2,2020-03-31
11073,Springwood,Australia,AW00011073,Amy Ye,1962-02-11,Single,Female,70000.00,2,0,High School,Skilled Manual,1,2,2022-03-23
11074,Cloverdale,Australia,AW00011074,Levi Arun,1962-02-25,Single,Male,70000.00,2,0,High School,Skilled Manual,1,2,2022-03-23
11075,Bendigo,Australia,AW00011075,Felicia Jimenez,1963-05-16,Single,Female,80000.00,2,0,High School,Professional,1,2,2020-04-28
11076,Wollongong,Australia,AW00011076,Blake Anderson,1963-01-10,Single,Male,80000.00,2,0,High School,Professional,1,2,2020-04-21
11077,Melton,Australia,AW00011077,Leah Ye,1963-03-19,Single,Female,80000.00,2,0,High School,Professional,0,2,2020-04-15
11078,Cliffside,Canada,AW00011078,Gina Martin,1985-01-06,Single,Female,40000.00,0,0,High School,Professional,0,2,2022-02-15
11079,Geelong,Australia,AW00011079,Donald Gonzalez,1970-03-07,Single,Male,160000.00,0,0,Graduate Degree,Management,1,2,2022-03-15
11080,Perth,Australia,AW00011080,Damien Chander,1965-01-13,Married,Male,170000.00,0,0,Graduate Degree,Management,1,2,2020-04-10
11081,Concord,United States,AW00011081,Savannah Baker,1972-01-21,Married,Female,120000.00,2,2,Bachelors,Management,1,3,2022-02-12
11082,Fremont,United States,AW00011082,Angela Butler,1972-02-01,Single,Female,130000.00,0,1,Graduate Degree,Management,0,3,2022-01-22
11083,Lincoln Acres,United States,AW00011083,Alyssa Cox,1977-03-11,Married,Female,130000.00,0,1,Graduate Degree,Management,1,3,2022-01-06
11084,Lebanon,United States,AW00011084,Lucas Phillips,1963-03-12,Single,Male,80000.00,2,0,Partial High School,Skilled Manual,0,2,2022-01-04
11085,Newport Beach,United States,AW00011085,Emily Johnson,1963-01-16,Single,Female,60000.00,2,0,High School,Professional,0,2,2022-12-06
11086,Santa Monica,United States,AW00011086,Ryan Brown,1963-06-22,Married,Male,70000.00,2,1,Partial College,Professional,1,0,2022-07-02
